Title,Animation,Description,External ID,Locale,Media,Module,Video
Exercício 1.2 - Escola tradicional: Lançamento auto-manual,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.2/animation.svg,Escola tradicional: Lançamento auto-manual,exercise-1.2,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.2/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.6 – Traditional School: Self-fed serve,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.6/animation.svg,Define the advance line into the offensive zone when the serve is directed toward the 1st VLC,exercise-1.6,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.6/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.2 – Traditional School: Self-fed serve,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.2/animation.svg,Traditional School: Self-fed serve,exercise-1.2,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.2/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.4 – Traditional School: Self-fed serve,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.4/animation.svg,Traditional School: Self-fed serve,exercise-1.4,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.4/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.12 – Escola Tradicional: Lançamento auto-manual,,Definir um padrão cognitivo na resposta ao 1º serviço,exercise-1.12,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.12/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.7 – Traditional School: Self-fed serve,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.7/animation.svg,Traditional School: Self-fed serve,exercise-1.7,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.7/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.9 – Traditional School: Self-fed serve,,Traditional School: Self-fed serve,exercise-1.9,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.9/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.8 - Escola tradicional: Lançamento auto-manual,,Escola tradicional: Lançamento auto-manual,exercise-1.8,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.8/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.9 – Escola tradicional: Lançamento auto-manual,,Escola tradicional: Lançamento auto-manual,exercise-1.9,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.9/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.8 – Traditional School: Self-fed serve,,Traditional School: Self-fed serve,exercise-1.8,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.8/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.10 – Escola tradicional: Lançamento auto-manual,,Escola tradicional: Lançamento auto-manual,exercise-1.10,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.10/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.10 – Traditional School: Self-fed serve,,Traditional School: Self-fed serve,exercise-1.10,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.10/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.12 – Traditional School: Self-fed serve,,Define a cognitive pattern in the response to the first serve,exercise-1.12,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.12/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.11 – Traditional School: Self-fed serve,,Traditional School: Self-fed serve,exercise-1.11,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.11/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.7 - Escola tradicional: Lançamento auto-manual,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.7/animation.svg,Escola tradicional: Lançamento auto-manual,exercise-1.7,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.7/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.11 – Escola tradicional: Lançamento auto-manual,,Escola tradicional: Lançamento auto-manual,exercise-1.11,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.11/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.16 – Escola Tradicional: Lançamento auto-manual + assistido,,Escola Tradicional: Lançamento auto-manual + assistido,exercise-1.16,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.16/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.18 – Traditional School: Self-fed + assisted serve,,Consolidation of the dynamics of the First Game Initiation Model – Variant I associated with the 1st Serve,exercise-1.18,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.18/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.15 – Escola Tradicional: Lançamento auto-manual + Assistido,,Escola Tradicional: Lançamento auto-manual + Assistido,exercise-1.15,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.15/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.16 – Traditional School: Self-fed + assisted serve,,Traditional School: Self-fed + assisted serve,exercise-1.16,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.16/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.15 – Traditional School: Self-fed + assisted serve,,Traditional School: Self-fed + assisted serve,exercise-1.15,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.15/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.13 – Traditional School: Self-fed serve,,Traditional School: Self-fed serve,exercise-1.13,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.13/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.14 – Escola Tradicional: Lançamento auto-manual,,Escola Tradicional: Lançamento auto-manual,exercise-1.14,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.14/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.17 – Escola Tradicional: Lançamento auto-manual + assistido,,Escola Tradicional: Lançamento auto-manual + assistido,exercise-1.17,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.17/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.13 – Escola Tradicional: Lançamento auto-manual,,Escola Tradicional: Lançamento auto-manual,exercise-1.13,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.13/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.14 – Traditional School: Self-fed serve,,Traditional School: Self-fed serve,exercise-1.14,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.14/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.17 – Traditional School: Self-fed + assisted serve,,Traditional School: Self-fed + assisted serve,exercise-1.17,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.17/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício I (1.18) – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante I associada ao 1º Serviço,exercise-1.18,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.18/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.24 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant I associated with the response to the 2nd Serve (chiquita),exercise-1.24,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.24/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.19 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo -Variante II associada ao 1º Serviço,exercise-1.19,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.19/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.23 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant VI associated with the 1st Serve,exercise-1.23,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.23/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.22 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo - Variante V associada ao 1º Serviço,exercise-1.22,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.22/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.21 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo - Variante IV associada ao 1º Serviço,exercise-1.21,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.21/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.20 – Traditional School: Self-fed + assisted serve,,Consolidation of the dynamics of the First Game Initiation Model – Variant III associated with the 1st Serve,exercise-1.20,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.20/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.21 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant IV associated with the 1st Serve,exercise-1.21,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.21/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.24 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante I associada à resposta ao 2º Serviço (chiquita),exercise-1.24,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.24/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.23 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo - Variante VI associada ao 1º Serviço,exercise-1.23,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.23/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.22 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant V associated with the 1st Serve,exercise-1.22,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.22/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.20 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo - Variante III associada ao 1º Serviço,exercise-1.20,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.20/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.19 – Traditional School: Self-fed + assisted serve,,Consolidation of the dynamics of the First Game Initiation Model – Variant II associated with the 1st Serve,exercise-1.19,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.19/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.28 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant I associated with the response to the 2nd Serve (chiquita),exercise-1.28,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.28/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.31 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante IV associada à resposta ao 2º Serviço (BRAP),exercise-1.31,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.31/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.29 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante II associada à resposta ao 2º Serviço (Balão Rápido = BR),exercise-1.29,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.29/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.28 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante I associada à resposta ao 2º Serviço (chiquita),exercise-1.28,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.28/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.25 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant II associated with the response to the 2nd Serve (Fast Lob = BR),exercise-1.25,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.25/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.25 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante II associada à resposta ao 2º Serviço (Balão Rápido = BR),exercise-1.25,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.25/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.30 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant III associated with the response to the 2nd Serve (High Lob = BA),exercise-1.30,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.30/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício I (1.27) – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante IV associada à resposta ao 2º Serviço (BRAP),exercise-1.27,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.27/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.31 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant IV associated with the response to the 2nd Serve (BRAP),exercise-1.31,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.31/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.27 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant IV associated with the response to the 2nd Serve (BRAP),exercise-1.27,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.27/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.26 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante III associada à resposta ao 2º Serviço (Balão Altura = BA),exercise-1.26,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.26/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.30 – Escola Tradicional: Lançamento auto-manual + assistido,,Consolidação da dinâmica do Primeiro Modelo de Iniciação de Jogo – Variante III associada à resposta ao 2º Serviço (Balão Altura = BA),exercise-1.30,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.30/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.26 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant III associated with the response to the 2nd Serve (High Lob = BA),exercise-1.26,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.26/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.29 – Traditional School: Self-manual + assisted throw,,Consolidation of the dynamics of the First Game Initiation Model – Variant II associated with the response to the 2nd Serve (Fast Lob = BR),exercise-1.29,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.29/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 2.0 – Independent Exercise,,Independent Exercise,exercise-2.0,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-2.0/diagram.svg,Module 2 (https://app.notion.com/p/Module-2-39b6b2772ee4812092e6c5b9b96299e3?pvs=21),
Exercício 2.0 – Exercício de Independente,,Exercício de Independente,exercise-2.0,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-2.0/diagram.svg,Mesociclo 2 (https://app.notion.com/p/Mesociclo-2-39b6b2772ee48117a2f6c22577e2a60e?pvs=21),
Exercise 2.1 – Independent Exercise,,Independent Exercise,exercise-2.1,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-2.1/diagram.svg,Module 2 (https://app.notion.com/p/Module-2-39b6b2772ee4812092e6c5b9b96299e3?pvs=21),
Exercício 2.1 – Exercício de Independente,,Exercício de Independente,exercise-2.1,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-2.1/diagram.svg,Mesociclo 2 (https://app.notion.com/p/Mesociclo-2-39b6b2772ee48117a2f6c22577e2a60e?pvs=21),
Exercise 2.2 – Independent Exercise,,Independent Exercise,exercise-2.2,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-2.2/diagram.svg,Module 2 (https://app.notion.com/p/Module-2-39b6b2772ee4812092e6c5b9b96299e3?pvs=21),
Exercício 2.2 – Exercício de Independente,,Exercício de Independente,exercise-2.2,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-2.2/diagram.svg,Mesociclo 2 (https://app.notion.com/p/Mesociclo-2-39b6b2772ee48117a2f6c22577e2a60e?pvs=21),
